molecule_chembl_id,canonical_smiles,standard_value
CHEMBL15886,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-],100000.0
CHEMBL556129,C[n+]1ccccc1CCC(O)CCl.[I-],200000.0
CHEMBL15795,C[N+](C)(C)CCCCl.[Br-],260000.0
CHEMBL276539,BrCCCCCC[n+]1ccccc1.[Br-],60000.0
CHEMBL278956,CC[N+](C)(CC)CCc1ccncc1.[I-],200000.0
CHEMBL539116,C[n+]1ccc(CCN2C(=O)CCC2=O)cc1.[I-],830000.0
CHEMBL276538,CS(=O)(=O)[O-].C[n+]1ccccc1CCl,460000.0
CHEMBL15822,CC[N+](C)(CC)CCc1ccccn1.[I-],1000000.0
CHEMBL538102,CCN(CC)CCc1cccc[n+]1C.[I-],550000.0
CHEMBL1159683,CC1C=CN(C)c2c1c1c(n2C)CCC1OCCCl.O=C(O)/C=C/C(=O)O,250000.0
CHEMBL539117,C[n+]1ccccc1CCN1C(=O)CCC1=O.[I-],870000.0
CHEMBL53239,Cc1ccc(CNc2c3c(nc4ccccc24)CCCC3O)cc1,21000.0
CHEMBL50735,Cc1ccccc1CNc1c2c(nc3ccccc13)CCCC2O,5890.0
CHEMBL50736,Nc1c2c(nc3ccccc13)CCC2O,5970.0
CHEMBL53598,OC1CCCc2nc3ccccc3c(NCc3cccc(C(F)(F)F)c3)c21,14200.0
CHEMBL301958,OC1CCCc2nc3ccccc3c(NCc3ccccc3)c21,32200.0
CHEMBL50462,COc1ccc2c(N)c3c(nc2c1)CCCC3O,2000.0
CHEMBL53666,OC1CCCc2nc3ccccc3c(NCCCC(c3ccccc3)c3ccccc3)c21,49300.0
CHEMBL51934,Nc1c2c(nc3ccccc13)CCCC2O,4000.0
CHEMBL50309,Nc1c2c(nc3cc(F)ccc13)CCCC2O,292.0
CHEMBL298896,CN(C)CCNc1c2c(nc3ccccc13)CCCC2O,7680.0
CHEMBL300315,OC1CCCc2nc3ccccc3c(NCc3ccccc3Cl)c21,10300.0
CHEMBL299147,OC1CCCc2nc3ccccc3c(NCc3ccc(C(F)(F)F)cc3)c21,18100.0
CHEMBL53978,OC1CCCc2nc3ccccc3c(NCCCOc3ccccc3)c21,3980.0
CHEMBL52967,OC1CCCc2nc3ccccc3c(NCc3ccccc3F)c21,41300.0
CHEMBL50322,OC1CCCc2nc3ccccc3c(NCCCC(c3ccc(F)cc3)c3ccc(F)cc3)c21,87800.0
CHEMBL51168,Nc1c2c(nc3ccc(Cl)cc13)CCCC2O,24700.0
CHEMBL53240,Cc1cccc(CNc2c3c(nc4ccccc24)CCCC3O)c1,24500.0
CHEMBL53973,OC1CCCc2nc3cc(F)ccc3c(NCc3ccccc3C(F)(F)F)c21,20100.0
CHEMBL298154,OC1CCCc2nc3cc(Cl)ccc3c(NCc3ccc(F)cc3)c21,823.0
CHEMBL54086,Nc1c2c(nc3cc(C(F)(F)F)ccc13)CCCC2O,1770.0
CHEMBL299771,OC1CCCc2nc3cc(F)ccc3c(NCc3ccccc3)c21,8630.0
CHEMBL1794989,O=C(O)/C=C/C(=O)O.OC1CCCc2nc3ccccc3c(NCCCC(c3cccc(F)c3)c3cccc(F)c3)c21,63000.0
CHEMBL53830,COc1ccccc1CNc1c2c(nc3ccccc13)CCCC2O,36000.0
CHEMBL53182,OC1CCCc2nc3ccccc3c(NCc3ccccc3C(F)(F)F)c21,13300.0
CHEMBL50410,OC1CCCc2nc3cc(C(F)(F)F)ccc3c(NCc3ccccc3)c21,68200.0
CHEMBL52181,OC1CCCc2nc3ccccc3c(NCc3ccc(Cl)cc3)c21,27200.0
CHEMBL50264,CNc1c2c(nc3ccccc13)CCCC2O,1760.0
CHEMBL54186,OC1CCCc2nc3ccccc3c(NCc3cccc(F)c3)c21,13100.0
CHEMBL50263,CCCNc1c2c(nc3ccccc13)CCCC2O,13300.0
CHEMBL52608,OC1CCCc2nc3ccccc3c(NCc3cccc(Cl)c3)c21,13300.0
CHEMBL53715,COc1cccc(CNc2c3c(nc4ccccc24)CCCC3O)c1,21100.0
CHEMBL51063,OC1CCCc2nc3cc(Cl)ccc3c(NCc3ccccc3)c21,1300.0
CHEMBL298577,Nc1c2c(nc3cc(Cl)ccc13)CCCC2O,11.7
CHEMBL50578,OC1CCCc2nc3ccccc3c(NCCc3ccccc3)c21,3390.0
CHEMBL1794987,O=C(O)/C=C/C(=O)O.OC1CCCc2nc3ccccc3c(NCc3cccs3)c21,15300.0
CHEMBL298674,OC1CCCc2nc3ccccc3c(NCc3ccc(F)cc3)c21,16700.0
CHEMBL298685,COc1ccc(CNc2c3c(nc4ccccc24)CCCC3O)cc1,10900.0
CHEMBL1794988,O=C(O)/C=C/C(=O)O.OC1CCCc2nc3ccccc3c(NCc3c(F)c(F)c(F)c(F)c3F)c21,12600.0
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,319.0
CHEMBL350442,C=Cc1cccn1N(C)c1ccncc1,100000.0
CHEMBL23455,Nc1c2c(nc3ccccc13)CCCC2O.O=C(O)/C=C\C(=O)O,4800.0
